Data,Sampling,Model,Accuracy,Precision,Recall,F1Score,ROCScore
Simple_Data_1,Unbalanced,Logit_Simple,0.7724425887265136,0.5658627087198516,0.32343584305408274,0.41160593792172745,0.6212194791594401
Simple_Data_1,Unbalanced,Logit_GridSearchCV,0.7620041753653445,0.5643153526970954,0.14422057264050903,0.22972972972972977,0.5539379083347924
Simple_Data_1,Unbalanced,Logit_RFECV,0.7711377870563675,0.5629770992366412,0.31283138918345704,0.40218132242672117,0.6167826035567683
Simple_Data_1,Unbalanced,RandomForest,0.7625260960334029,0.5230769230769231,0.39660657476139977,0.45114595898673104,0.6392863264945802
Simple_Data_1,Unbalanced,XGBoost,0.7716597077244259,0.545822102425876,0.42948038176033937,0.4807121661721068,0.6564155110601628
Simple_Data_1,Unbalanced,NeuralNet,0.7377348643006263,0.4630071599045346,0.41145281018027574,0.4357102751263336,0.6278447851524431
Simple_Data_1,OverSampling,Logit_Simple,0.7379958246346555,0.47816750178954903,0.7083775185577943,0.5709401709401709,0.7280205349798318
Simple_Data_1,OverSampling,Logit_GridSearchCV,0.7413883089770354,0.4827089337175792,0.7104984093319194,0.5748605748605748,0.7309847532987045
Simple_Data_1,OverSampling,Logit_RFECV,0.7541753653444676,0.6666666666666666,0.0021208907741251328,0.004228329809725159,0.5008873751205344
Simple_Data_1,OverSampling,RandomForest,0.7546972860125261,0.5016042780748663,0.4973488865323436,0.49946751863684774,0.6680236990640257
Simple_Data_1,OverSampling,XGBoost,0.7492171189979123,0.4932228915662651,0.694591728525981,0.5768383971818583,0.7308195748895048
Simple_Data_1,OverSampling,NeuralNet,0.6855427974947808,0.4026745913818722,0.574761399787911,0.4735692442114461,0.6482322056052743
Simple_Data_1,UnderSampling,Logit_Simple,0.7332985386221295,0.4723969252271139,0.7168610816542949,0.5695029486099411,0.7277624895983485
Simple_Data_1,UnderSampling,Logit_GridSearchCV,0.7400835073068893,0.48083875632682577,0.7051961823966065,0.5717970765262252,0.7283336398310482
Simple_Data_1,UnderSampling,Logit_RFECV,0.774008350730689,0.573055028462998,0.32025450689289503,0.41088435374149657,0.6211864434776002
Simple_Data_1,UnderSampling,RandomForest,0.7301670146137788,0.46859903381642515,0.7200424178154825,0.5677257525083612,0.7267571036810192
Simple_Data_1,UnderSampling,XGBoost,0.7173799582463466,0.45483870967741935,0.7476139978791092,0.5655836341756919,0.7275626237232168
Simple_Data_1,UnderSampling,NeuralNet,0.6302192066805845,0.36595022624434387,0.6861081654294804,0.47731464404278867,0.6490423139366162
MissForest_Data_1,Unbalanced,Logit_Simple,0.7737473903966597,0.5648464163822525,0.35100742311770944,0.4329627207325049,0.631370793594161
MissForest_Data_1,Unbalanced,Logit_GridSearchCV,0.7580897703549061,0.536036036036036,0.1261930010604454,0.20429184549356225,0.5452702630778169
MissForest_Data_1,Unbalanced,Logit_RFECV,0.7721816283924844,0.5605536332179931,0.34358430540827145,0.4260355029585799,0.6278323050059702
MissForest_Data_1,Unbalanced,RandomForest,0.7510438413361169,0.492040520984081,0.3605514316012725,0.4161566707466339,0.6195280522492344
MissForest_Data_1,Unbalanced,XGBoost,0.7680062630480167,0.5399408284023669,0.3870625662778367,0.4508956145768993,0.6397064302486449
MissForest_Data_1,Unbalanced,NeuralNet,0.7262526096033403,0.43935926773455375,0.40721102863202546,0.42267473858007704,0.6188010837171896
MissForest_Data_1,OverSampling,Logit_Simple,0.7231210855949896,0.45489296636085624,0.630965005302227,0.5286539315859619,0.6920834026164994
MissForest_Data_1,OverSampling,Logit_GridSearchCV,0.7293841336116911,0.4635093167701863,0.633085896076352,0.5351860152398027,0.6969513938671825
MissForest_Data_1,OverSampling,Logit_RFECV,0.7309498956158664,0.4635157545605307,0.5927889713679746,0.5202419730107026,0.6844180232402352
MissForest_Data_1,OverSampling,RandomForest,0.7390396659707724,0.4683684794672586,0.44750795334040294,0.457700650759219,0.6408533190031886
MissForest_Data_1,OverSampling,XGBoost,0.7312108559498957,0.46511627906976744,0.6150583244962884,0.5296803652968036,0.6920912944738278
MissForest_Data_1,OverSampling,NeuralNet,0.6844989561586639,0.3810375670840787,0.4517497348886532,0.41339155749636103,0.6061102430068049
MissForest_Data_1,UnderSampling,Logit_Simple,0.7194676409185804,0.4509658246656761,0.6436903499469777,0.5303626037570992,0.6939462480091413
MissForest_Data_1,UnderSampling,Logit_GridSearchCV,0.7254697286012526,0.45836516424751717,0.6362672322375398,0.5328596802841918,0.6954267971502687
MissForest_Data_1,UnderSampling,Logit_RFECV,0.7403444676409185,0.4735772357723577,0.4941675503711559,0.48365334717176967,0.6574333771239649
MissForest_Data_1,UnderSampling,RandomForest,0.6928496868475992,0.41997264021887826,0.6511134676564156,0.5106029106029106,0.6787931478122855
MissForest_Data_1,UnderSampling,XGBoost,0.697286012526096,0.4278110445775116,0.6818663838812301,0.525756336876533,0.692092762726354
MissForest_Data_1,UnderSampling,NeuralNet,0.598643006263048,0.33787465940054495,0.6574761399787911,0.44636429085673146,0.6184576961576199
MICEForest_Data_1,Unbalanced,Logit_Simple,0.7737473903966597,0.5629139072847682,0.3605514316012725,0.4395604395604395,0.6345851654371888
MICEForest_Data_1,Unbalanced,Logit_GridSearchCV,0.7617432150313153,0.5681818181818182,0.1325556733828208,0.21496130696474636,0.5498361613712304
MICEForest_Data_1,Unbalanced,Logit_RFECV,0.7742693110647182,0.5633116883116883,0.3679745493107105,0.44515715202052597,0.6374313729592668
MICEForest_Data_1,Unbalanced,RandomForest,0.7573068893528184,0.5108514190317195,0.3244962884411453,0.3968871595330739,0.611538556127807
MICEForest_Data_1,Unbalanced,XGBoost,0.7690501043841336,0.5415472779369628,0.40084835630965004,0.4606946983546618,0.6450416928657977
MICEForest_Data_1,Unbalanced,NeuralNet,0.7231210855949896,0.42493638676844786,0.35418875927889715,0.38635049161364954,0.5988666191686974
MICEForest_Data_1,OverSampling,Logit_Simple,0.7249478079331941,0.4572089437162683,0.6288441145281018,0.5294642857142857,0.6925805896281907
MICEForest_Data_1,OverSampling,Logit_GridSearchCV,0.7299060542797495,0.46400625978090765,0.6288441145281018,0.5339936965330933,0.6958689246922268
MICEForest_Data_1,OverSampling,Logit_RFECV,0.7231210855949896,0.45419254658385094,0.6203605514316013,0.5244285073957866,0.6885118783464688
MICEForest_Data_1,OverSampling,RandomForest,0.7481732776617954,0.4869047619047619,0.4337221633085896,0.45877734155916994,0.6422677967806363
MICEForest_Data_1,OverSampling,XGBoost,0.7265135699373695,0.45650372825186414,0.584305408271474,0.5125581395348837,0.678618609293231
MICEForest_Data_1,OverSampling,NeuralNet,0.6748434237995825,0.3697334479793637,0.4559915164369035,0.4083570750237417,0.6011352528532736
MICEForest_Data_1,UnderSampling,Logit_Simple,0.7197286012526096,0.45034116755117515,0.6299045599151644,0.5251989389920425,0.6894763367246296
MICEForest_Data_1,UnderSampling,Logit_GridSearchCV,0.7283402922755741,0.46195652173913043,0.630965005302227,0.5333930972658001,0.6955448079470636
MICEForest_Data_1,UnderSampling,Logit_RFECV,0.7343423799582464,0.4691865242399343,0.6055143160127253,0.5287037037037037,0.6909537658291387
MICEForest_Data_1,UnderSampling,RandomForest,0.6959812108559499,0.42127659574468085,0.6299045599151644,0.5048873778155547,0.6737269424705624
MICEForest_Data_1,UnderSampling,XGBoost,0.6975469728601252,0.42572214580467677,0.6564156945917285,0.5164789319983313,0.6836941747448084
MICEForest_Data_1,UnderSampling,NeuralNet,0.6623173277661796,0.3764954257565095,0.5673382820784729,0.4526226734348561,0.630328884895242
MICEForest_Data_2,Unbalanced,Logit_Simple,0.7713987473903967,0.5557404326123128,0.35418875927889715,0.4326424870466321,0.6308846184764164
MICEForest_Data_2,Unbalanced,Logit_GridSearchCV,0.7593945720250522,0.547945205479452,0.12725344644750794,0.20654044750430292,0.5464927668374612
MICEForest_Data_2,Unbalanced,Logit_RFECV,0.7732254697286013,0.5614617940199336,0.3584305408271474,0.4375404530744337,0.6335247200501262
MICEForest_Data_2,Unbalanced,RandomForest,0.7552192066805845,0.5040128410914928,0.3329798515376458,0.4010217113665389,0.6130112134116059
MICEForest_Data_2,Unbalanced,XGBoost,0.7661795407098121,0.533715925394548,0.3944856839872747,0.4536585365853658,0.640995005371969
MICEForest_Data_2,Unbalanced,NeuralNet,0.7202505219206681,0.42124542124542125,0.36585365853658536,0.39160045402951194,0.600891522933921
MICEForest_Data_2,OverSampling,Logit_Simple,0.7215553235908142,0.4527439024390244,0.6299045599151644,0.526829268292683,0.6906878285903271
MICEForest_Data_2,OverSampling,Logit_GridSearchCV,0.7252087682672234,0.4574961360123648,0.6277836691410392,0.5292802860974519,0.6923965074677159
MICEForest_Data_2,OverSampling,Logit_RFECV,0.7045929018789144,0.4243394715772618,0.5620360551431601,0.4835766423357664,0.6565805059377968
MICEForest_Data_2,OverSampling,RandomForest,0.7393006263048016,0.46736596736596736,0.4252386002120891,0.4453081621321488,0.6335261883026524
MICEForest_Data_2,OverSampling,XGBoost,0.7241649269311065,0.4546899841017488,0.6065747613997879,0.5197637437528397,0.6845611778615416
MICEForest_Data_2,OverSampling,NeuralNet,0.7085073068893528,0.4161849710982659,0.45811240721102864,0.4361433619384149,0.6241756220894188
MICEForest_Data_2,UnderSampling,Logit_Simple,0.7168580375782881,0.4469357249626308,0.6341463414634146,0.5243314335817624,0.6890011735008317
MICEForest_Data_2,UnderSampling,Logit_GridSearchCV,0.7291231732776617,0.46332046332046334,0.6362672322375398,0.5361930294906168,0.6978497808816636
MICEForest_Data_2,UnderSampling,Logit_RFECV,0.7038100208768268,0.42356687898089174,0.5641569459172853,0.483856298317417,0.6567755999922182
MICEForest_Data_2,UnderSampling,RandomForest,0.6965031315240083,0.42329149232914925,0.6436903499469777,0.5107278081615482,0.6787160645546588
MICEForest_Data_2,UnderSampling,XGBoost,0.6970250521920668,0.4252400548696845,0.6574761399787911,0.5164514785506039,0.6837051866387551
MICEForest_Data_2,UnderSampling,NeuralNet,0.6377870563674322,0.363914373088685,0.630965005302227,0.4615981380915438,0.6354894254617746
MICEForest_Data_3,Unbalanced,Logit_Simple,0.7734864300626305,0.5634517766497462,0.3531283138918346,0.4341590612777053,0.631912028181639
MICEForest_Data_3,Unbalanced,Logit_GridSearchCV,0.7609603340292276,0.5610859728506787,0.13149522799575822,0.21305841924398625,0.5489597981446427
MICEForest_Data_3,Unbalanced,Logit_RFECV,0.7729645093945721,0.561344537815126,0.35418875927889715,0.4343302990897269,0.6319230400755856
MICEForest_Data_3,Unbalanced,RandomForest,0.7518267223382046,0.49375,0.33510074231177095,0.3992419456727732,0.6114756048007453
MICEForest_Data_3,Unbalanced,XGBoost,0.769572025052192,0.5454545454545454,0.38176033934252385,0.4491578290704928,0.6389590897127988
MICEForest_Data_3,Unbalanced,NeuralNet,0.7184237995824635,0.41962174940898345,0.37645811240721105,0.3968697596422583,0.6032515553382543
MICEForest_Data_3,OverSampling,Logit_Simple,0.7252087682672234,0.45709828393135726,0.6214209968186638,0.5267415730337079,0.6902535929056973
MICEForest_Data_3,OverSampling,Logit_GridSearchCV,0.7272964509394572,0.46021840873634945,0.6256627783669141,0.5303370786516853,0.6930667647459354
MICEForest_Data_3,OverSampling,Logit_RFECV,0.7395615866388309,0.4768713204373423,0.601272534464475,0.5318949343339587,0.6929865614516907
MICEForest_Data_3,OverSampling,RandomForest,0.7445198329853863,0.47862232779097386,0.42735949098621423,0.45154061624649866,0.6377018984872227
MICEForest_Data_3,OverSampling,XGBoost,0.7280793319415448,0.45898922949461474,0.5874867444326617,0.5153488372093024,0.6807284881734095
MICEForest_Data_3,OverSampling,NeuralNet,0.7126826722338204,0.4096109839816934,0.3796394485683987,0.3940561364887177,0.6005154667556427
MICEForest_Data_3,UnderSampling,Logit_Simple,0.7126826722338204,0.4419970631424376,0.6383881230116649,0.5223427331887202,0.6876606589443923
MICEForest_Data_3,UnderSampling,Logit_GridSearchCV,0.7272964509394572,0.46064814814814814,0.633085896076352,0.533273782938812,0.6955668317349569
MICEForest_Data_3,UnderSampling,Logit_RFECV,0.7343423799582464,0.4692370795734208,0.6065747613997879,0.5291396854764108,0.6913109182561418
MICEForest_Data_3,UnderSampling,RandomForest,0.694937369519833,0.4224965706447188,0.6532343584305408,0.5131195335276969,0.6808920147985171
MICEForest_Data_3,UnderSampling,XGBoost,0.6965031315240083,0.4259757738896366,0.6712619300106044,0.5212021407986825,0.6880020276567387
MICEForest_Data_3,UnderSampling,NeuralNet,0.6239561586638831,0.35107655502392343,0.6224814422057264,0.4489483747609943,0.6234594819197549
